stat, rank, value, (percentage) 
minecraft.dropped.warped_planks: #2, 32(15%)
minecraft.mined.lime_banner: #2, 13(24%)
minecraft.dropped.smithing_table: #2, 35(27%)
minecraft.used.mossy_cobblestone_stairs: #2, 37(14%)
minecraft.picked_up.crimson_fence_gate: #2, 18(17%)
minecraft.dropped.stick: #3, 5988(12%)
minecraft.crafted.cooked_beef: #3, 1826(12%)
minecraft.mined.glass: #3, 2549(12%)
minecraft.picked_up.brick_wall: #2, 252(15%)
minecraft.dropped.cooked_cod: #3, 222(22%)
minecraft.picked_up.cobblestone_slab: #3, 1288(13%)
minecraft.picked_up.red_nether_brick_stairs: #2, 108(18%)
minecraft.dropped.crimson_planks: #3, 214(20%)
minecraft.mined.acacia_door: #2, 8(30%)
minecraft.picked_up.potion: #3, 408(12%)
minecraft.used.cooked_beef: #3, 2479(11%)
minecraft.dropped.prismarine_shard: #2, 2627(13%)
minecraft.dropped.oak_pressure_plate: #2, 5(19%)
minecraft.dropped.coal_ore: #3, 1017(14%)
minecraft.dropped.chicken: #3, 725(14%)
minecraft.picked_up.melon_slice: #3, 6414(12%)
minecraft.picked_up.cooked_beef: #3, 2632(11%)
minecraft.dropped.brick_wall: #2, 167(33%)
minecraft.dropped.yellow_concrete: #2, 122(17%)
minecraft.picked_up.cooked_cod: #3, 279(14%)
minecraft.dropped.brick: #2, 264(20%)
minecraft.picked_up.blue_concrete: #3, 1524(13%)
minecraft.dropped.gunpowder: #3, 3978(12%)
minecraft.dropped.barrel: #3, 60(18%)
minecraft.dropped.cut_sandstone: #3, 341(18%)
minecraft.dropped.andesite: #3, 5145(11%)
minecraft.crafted.end_crystal: #2, 202(19%)
minecraft.used.milk_bucket: #3, 18(11%)
minecraft.dropped.light_blue_concrete: #3, 133(19%)
minecraft.dropped.brown_concrete: #2, 30(38%)
minecraft.dropped.purple_concrete_powder: #2, 44(37%)
minecraft.picked_up.comparator: #3, 512(11%)
minecraft.dropped.gray_dye: #2, 114(16%)
minecraft.mined.stone_pressure_plate: #3, 66(12%)
minecraft.killed_by.ender_dragon: #2, 4(36%)
minecraft.picked_up.porkchop: #3, 234(10%)
minecraft.dropped.snowball: #3, 983(14%)
minecraft.picked_up.lead: #3, 422(10%)
minecraft.dropped.iron_horse_armor: #2, 6(35%)
minecraft.picked_up.daylight_detector: #3, 39(12%)
minecraft.dropped.cooked_chicken: #3, 113(12%)
minecraft.picked_up.milk_bucket: #3, 27(12%)
minecraft.dropped.glass: #3, 969(11%)
minecraft.picked_up.glass: #3, 7781(10%)
minecraft.picked_up.golden_carrot: #3, 3899(9%)
minecraft.picked_up.minecart: #3, 419(9%)
minecraft.used.jack_o_lantern: #3, 426(16%)
minecraft.picked_up.lime_carpet: #3, 394(13%)
minecraft.dropped.green_dye: #3, 8843(16%)
minecraft.dropped.polished_blackstone_bricks: #3, 291(17%)
minecraft.used.ladder: #3, 957(9%)
minecraft.mined.lever: #3, 155(9%)
