stat, rank, value, (percentage) 
minecraft.picked_up.blaze_rod: #15, 72(0%)
minecraft.picked_up.clay: #15, 62(0%)
minecraft.used.spruce_button: #15, 11(0%)
minecraft.mined.bamboo_sapling: #15, 1(0%)
minecraft.used.cornflower: #15, 1(0%)
minecraft.used.wither_skeleton_skull: #15, 3(0%)
minecraft.picked_up.glass_bottle: #15, 25(0%)
minecraft.picked_up.acacia_sapling: #15, 16(0%)
minecraft.mined.stripped_acacia_log: #15, 1(0%)
minecraft.mined.birch_planks: #15, 17(0%)
minecraft.used.blackstone_wall: #15, 14(0%)
minecraft.crafted.andesite_slab: #15, 30(0%)
minecraft.crafted.polished_granite: #15, 36(0%)
minecraft.dropped.lapis_lazuli: #15, 5(0%)
minecraft.crafted.acacia_slab: #15, 6(0%)
minecraft.dropped.yellow_terracotta: #15, 1(0%)
minecraft.crafted.blackstone_slab: #15, 6(0%)
minecraft.picked_up.stripped_warped_stem: #15, 1(0%)
minecraft.mined.stripped_warped_stem: #15, 1(0%)
minecraft.crafted.cooked_porkchop: #15, 3(0%)
minecraft.used.sandstone_slab: #15, 5(0%)
minecraft.used.yellow_terracotta: #15, 1(0%)
minecraft.used.torch: #16, 12206(3%)
minecraft.mined.coal_ore: #16, 6552(3%)
minecraft.picked_up.iron_sword: #16, 6(2%)
minecraft.mined.light_gray_concrete: #16, 892(2%)
minecraft.crafted.barrel: #16, 106(1%)
minecraft.mined.diamond_ore: #16, 601(1%)
minecraft.crafted.bow: #16, 80(1%)
minecraft.mined.white_shulker_box: #16, 73(1%)
minecraft.picked_up.white_shulker_box: #16, 73(1%)
minecraft.used.white_shulker_box: #16, 73(1%)
minecraft.dropped.cobblestone: #16, 2583(1%)
minecraft.picked_up.soul_soil: #16, 396(1%)
minecraft.used.iron_ore: #16, 9(1%)
minecraft.crafted.bucket: #16, 68(1%)
minecraft.picked_up.smooth_stone_slab: #16, 318(1%)
minecraft.mined.dark_oak_wall_sign: #16, 3(1%)
minecraft.used.light_gray_concrete_powder: #16, 1085(1%)
minecraft.dropped.netherite_axe: #16, 1(1%)
minecraft.picked_up.rotten_flesh: #16, 2319(1%)
minecraft.mined.oak_stairs: #16, 19(1%)
minecraft.mined.spruce_slab: #16, 130(1%)
minecraft.mined.smooth_stone_slab: #16, 264(1%)
minecraft.picked_up.light_gray_concrete: #16, 471(1%)
minecraft.mined.cornflower: #16, 11(1%)
minecraft.mined.warped_nylium: #16, 68(1%)
minecraft.custom.interact_with_loom: #16, 7(1%)
