stat, rank, value, (percentage) 
minecraft.mined.potted_warped_fungus: #1, 1(50%)
minecraft.crafted.skull_banner_pattern: #1, 1(100%)
minecraft.mined.acacia_pressure_plate: #1, 1(33%)
minecraft.picked_up.dropper: #3, 503(12%)
minecraft.mined.mossy_cobblestone_slab: #2, 19(20%)
minecraft.dropped.oak_boat: #2, 14(11%)
minecraft.crafted.mossy_stone_bricks: #2, 481(12%)
minecraft.crafted.shield: #2, 28(11%)
minecraft.picked_up.dark_oak_boat: #2, 9(20%)
minecraft.used.totem_of_undying: #3, 43(16%)
minecraft.used.black_shulker_box: #3, 659(13%)
minecraft.dropped.chain: #2, 467(11%)
minecraft.crafted.bucket: #3, 742(12%)
minecraft.used.iron_trapdoor: #3, 3708(13%)
minecraft.picked_up.azure_bluet: #3, 3151(13%)
minecraft.dropped.iron_shovel: #3, 24(14%)
minecraft.picked_up.diorite_stairs: #2, 91(27%)
minecraft.used.polished_blackstone_bricks: #3, 5100(14%)
minecraft.dropped.cobblestone_slab: #3, 642(15%)
minecraft.crafted.nether_brick_stairs: #2, 460(14%)
minecraft.used.crimson_pressure_plate: #2, 24(23%)
minecraft.crafted.light_blue_dye: #3, 2728(12%)
