stat, rank, value, (percentage) 
minecraft.custom.clean_banner: #2, 31(28%)
minecraft.mined.lime_stained_glass: #3, 347(11%)
minecraft.crafted.blue_stained_glass: #3, 2288(13%)
minecraft.broken.iron_chestplate: #2, 1(17%)
minecraft.mined.orange_bed: #3, 12(17%)
minecraft.used.shroomlight: #3, 699(8%)
minecraft.custom.interact_with_smoker: #3, 225(10%)
minecraft.used.magenta_bed: #3, 23(26%)
minecraft.picked_up.cut_sandstone: #3, 737(10%)
minecraft.picked_up.oak_log: #3, 14151(8%)
minecraft.crafted.spruce_boat: #3, 20(11%)
minecraft.mined.detector_rail: #3, 25(10%)
minecraft.used.mossy_cobblestone_slab: #3, 104(14%)
minecraft.picked_up.suspicious_stew: #3, 9(15%)
minecraft.crafted.stone_pickaxe: #4, 100(12%)
minecraft.custom.walk_one_cm: #4, 249973789(6%)
minecraft.picked_up.orange_bed: #3, 13(17%)
minecraft.mined.orange_stained_glass: #3, 502(14%)
minecraft.picked_up.netherite_chestplate: #3, 6(14%)
minecraft.crafted.cut_red_sandstone_slab: #2, 30(18%)
minecraft.picked_up.cooked_beef: #4, 2626(11%)
minecraft.crafted.stripped_crimson_hyphae: #2, 3(33%)
minecraft.dropped.golden_pickaxe: #2, 1(33%)
minecraft.mined.black_wall_banner: #3, 40(13%)
minecraft.mined.brown_stained_glass_pane: #3, 16(23%)
minecraft.mined.oak_wood: #3, 308(11%)
minecraft.picked_up.light_gray_dye: #2, 285(3%)
minecraft.crafted.golden_helmet: #4, 17(12%)
minecraft.crafted.nether_brick_stairs: #3, 397(12%)
minecraft.mined.light_blue_carpet: #3, 82(9%)
minecraft.used.dark_oak_door: #3, 56(11%)
minecraft.mined.cut_sandstone: #3, 563(8%)
minecraft.picked_up.purple_carpet: #4, 246(14%)
minecraft.used.soul_lantern: #4, 398(12%)
minecraft.used.oxeye_daisy: #3, 33(14%)
minecraft.crafted.golden_sword: #2, 2(12%)
minecraft.broken.golden_sword: #2, 1(25%)
minecraft.killed_by.ghast: #2, 1(25%)
minecraft.used.blue_orchid: #3, 106(15%)
minecraft.crafted.stone: #4, 5848(11%)
minecraft.crafted.green_terracotta: #3, 1392(8%)
minecraft.crafted.oak_door: #4, 54(12%)
minecraft.used.blue_concrete: #4, 1789(12%)
minecraft.used.crimson_door: #3, 10(14%)
minecraft.picked_up.oak_wood: #3, 313(10%)
minecraft.picked_up.spruce_door: #4, 62(10%)
minecraft.picked_up.green_carpet: #4, 547(11%)
minecraft.dropped.spruce_pressure_plate: #3, 22(12%)
minecraft.crafted.cut_red_sandstone: #3, 116(20%)
minecraft.broken.flint_and_steel: #3, 6(10%)
minecraft.custom.open_barrel: #4, 16875(9%)
minecraft.picked_up.cooked_chicken: #4, 315(11%)
minecraft.mined.polished_blackstone_slab: #4, 558(11%)
minecraft.mined.tall_seagrass: #3, 687(6%)
minecraft.dropped.jungle_slab: #3, 190(9%)
minecraft.mined.oak_planks: #4, 1069(10%)
minecraft.crafted.lime_wool: #3, 99(11%)
minecraft.picked_up.dark_oak_door: #3, 40(9%)
minecraft.used.seagrass: #3, 50(12%)
minecraft.mined.birch_log: #4, 7469(9%)
minecraft.dropped.black_banner: #2, 16(2%)
minecraft.killed_by.enderman: #3, 3(12%)
minecraft.crafted.soul_torch: #3, 676(7%)
minecraft.picked_up.podzol: #3, 4222(6%)
minecraft.crafted.green_wool: #3, 217(10%)
minecraft.used.polished_blackstone: #4, 4099(10%)
minecraft.picked_up.red_glazed_terracotta: #3, 212(17%)
minecraft.mined.cut_red_sandstone_slab: #2, 1(6%)
minecraft.used.salmon_bucket: #2, 1(8%)
minecraft.mined.lime_banner: #3, 8(15%)
minecraft.used.flint_and_steel: #4, 594(9%)
minecraft.mined.dark_oak_door: #3, 19(10%)
minecraft.used.nether_brick_stairs: #4, 866(12%)
minecraft.crafted.orange_stained_glass: #4, 2200(12%)
minecraft.picked_up.cut_red_sandstone_slab: #2, 1(3%)
minecraft.picked_up.spruce_pressure_plate: #3, 29(8%)
minecraft.picked_up.soul_lantern: #4, 247(9%)
minecraft.picked_up.birch_log: #4, 7526(9%)
minecraft.mined.smooth_sandstone: #4, 2161(10%)
minecraft.mined.oak_slab: #4, 437(9%)
minecraft.picked_up.experience_bottle: #3, 111(9%)
minecraft.used.ladder: #4, 890(8%)
minecraft.crafted.birch_door: #3, 33(7%)
minecraft.killed_by.slime: #3, 1(20%)
minecraft.picked_up.red_sand: #4, 13982(9%)
minecraft.mined.light_weighted_pressure_plate: #3, 57(8%)
minecraft.custom.interact_with_campfire: #3, 14(11%)
minecraft.crafted.cyan_carpet: #4, 1005(11%)
minecraft.broken.leather_leggings: #3, 3(12%)
minecraft.crafted.mossy_cobblestone: #3, 331(6%)
minecraft.used.blue_concrete_powder: #4, 1959(10%)
minecraft.crafted.slime_block: #4, 5095(10%)
minecraft.used.birch_boat: #4, 38(10%)
minecraft.used.black_stained_glass: #4, 8671(10%)
minecraft.used.suspicious_stew: #3, 3(10%)
minecraft.mined.light_gray_terracotta: #4, 5245(9%)
minecraft.mined.white_terracotta: #4, 5031(9%)
minecraft.mined.grass: #4, 6307(8%)
minecraft.picked_up.netherite_shovel: #4, 43(8%)
minecraft.crafted.green_carpet: #4, 1104(10%)
minecraft.picked_up.stone_pickaxe: #4, 12(12%)
minecraft.dropped.birch_sapling: #4, 134(9%)
minecraft.killed.drowned: #4, 1006(8%)
minecraft.mined.red_sand: #4, 13692(9%)
minecraft.used.chiseled_sandstone: #3, 515(6%)
minecraft.mined.slime_block: #4, 651(8%)
minecraft.mined.orange_shulker_box: #4, 449(8%)
minecraft.picked_up.netherite_axe: #4, 43(8%)
minecraft.picked_up.birch_boat: #4, 36(9%)
minecraft.used.stone_shovel: #3, 1749(5%)
minecraft.used.chipped_anvil: #4, 28(8%)
minecraft.crafted.light_gray_glazed_terracotta: #3, 32(9%)
minecraft.picked_up.orange_shulker_box: #4, 446(8%)
minecraft.used.basalt: #4, 3435(7%)
minecraft.picked_up.golden_boots: #4, 34(7%)
minecraft.crafted.cooked_mutton: #4, 312(11%)
minecraft.mined.lime_carpet: #4, 167(10%)
minecraft.used.orange_shulker_box: #4, 446(8%)
minecraft.crafted.black_stained_glass: #4, 7663(8%)
minecraft.used.prismarine_stairs: #3, 86(6%)
minecraft.used.netherite_shovel: #4, 209342(9%)
minecraft.used.allium: #3, 23(10%)
minecraft.picked_up.warped_pressure_plate: #3, 4(12%)
minecraft.used.mossy_cobblestone_stairs: #4, 32(12%)
minecraft.picked_up.yellow_concrete_powder: #3, 538(4%)
minecraft.mined.cut_red_sandstone: #3, 4(10%)
minecraft.picked_up.chorus_flower: #3, 246(5%)
minecraft.crafted.red_stained_glass: #4, 3168(8%)
minecraft.crafted.acacia_slab: #4, 582(10%)
minecraft.picked_up.cut_red_sandstone: #3, 4(10%)
minecraft.crafted.polished_blackstone_bricks: #4, 2184(8%)
minecraft.crafted.smooth_sandstone: #4, 2873(10%)
minecraft.picked_up.cooked_porkchop: #4, 844(7%)
minecraft.crafted.composter: #4, 203(7%)
minecraft.crafted.popped_chorus_fruit: #3, 24(7%)
minecraft.picked_up.netherite_pickaxe: #4, 66(7%)
minecraft.mined.sandstone_stairs: #4, 421(9%)
minecraft.crafted.white_glazed_terracotta: #3, 32(8%)
minecraft.custom.clean_armor: #3, 1(17%)
minecraft.killed_by.piglin: #4, 5(10%)
minecraft.mined.brown_wool: #4, 120(7%)
minecraft.picked_up.netherite_helmet: #4, 30(6%)
minecraft.used.snowball: #4, 856(7%)
minecraft.used.magenta_carpet: #4, 290(10%)
minecraft.dropped.jungle_sapling: #4, 36(10%)
minecraft.picked_up.sugar_cane: #4, 19059(6%)
minecraft.used.melon_slice: #4, 87(8%)
minecraft.picked_up.mossy_cobblestone_slab: #4, 28(11%)
minecraft.picked_up.detector_rail: #4, 31(7%)
minecraft.dropped.yellow_shulker_box: #3, 1(4%)
minecraft.crafted.hay_block: #4, 568(7%)
minecraft.picked_up.lava_bucket: #4, 15(7%)
minecraft.picked_up.iron_boots: #4, 44(6%)
minecraft.mined.oxeye_daisy: #4, 85(7%)
minecraft.mined.chorus_flower: #3, 165(3%)
minecraft.mined.podzol: #4, 4313(6%)
minecraft.used.cyan_terracotta: #5, 23600(10%)
minecraft.used.lapis_block: #3, 245(2%)
