stat, rank, value, (percentage) 
minecraft.dropped.clay_ball: #3, 72(10%)
minecraft.mined.lily_pad: #3, 138(8%)
minecraft.picked_up.gray_carpet: #4, 1337(11%)
minecraft.used.warped_fence_gate: #3, 38(12%)
minecraft.crafted.warped_fence: #3, 195(9%)
minecraft.crafted.magenta_glazed_terracotta: #2, 64(7%)
minecraft.crafted.light_blue_banner: #3, 61(17%)
minecraft.dropped.tripwire_hook: #3, 41(8%)
minecraft.used.heavy_weighted_pressure_plate: #3, 43(7%)
minecraft.broken.leather_helmet: #3, 4(14%)
minecraft.mined.twisting_vines_plant: #3, 80(7%)
minecraft.used.end_stone_brick_stairs: #2, 36(9%)
minecraft.used.cactus: #3, 519(6%)
minecraft.picked_up.warped_fungus: #3, 555(6%)
minecraft.used.soul_campfire: #3, 37(10%)
minecraft.picked_up.wooden_axe: #3, 3(21%)
minecraft.crafted.polished_blackstone_brick_slab: #3, 612(8%)
minecraft.crafted.pink_glazed_terracotta: #2, 64(7%)
minecraft.used.light_blue_shulker_box: #4, 622(10%)
minecraft.picked_up.warped_fence_gate: #3, 9(16%)
minecraft.dropped.sponge: #3, 54(14%)
minecraft.dropped.cyan_wool: #3, 75(14%)
minecraft.dropped.warped_wart_block: #4, 832(12%)
minecraft.mined.warped_fence_gate: #3, 9(15%)
minecraft.mined.light_blue_shulker_box: #4, 622(10%)
minecraft.dropped.chipped_anvil: #3, 8(13%)
minecraft.crafted.crimson_hyphae: #3, 540(11%)
minecraft.picked_up.map: #3, 60(10%)
minecraft.broken.leather_chestplate: #3, 3(17%)
minecraft.dropped.brown_concrete_powder: #2, 13(2%)
minecraft.dropped.warped_hyphae: #2, 4(3%)
minecraft.crafted.prismarine_slab: #3, 126(13%)
minecraft.crafted.white_banner: #3, 83(7%)
minecraft.broken.iron_helmet: #3, 2(14%)
minecraft.picked_up.chiseled_nether_bricks: #3, 51(7%)
minecraft.mined.chiseled_nether_bricks: #3, 53(7%)
minecraft.picked_up.obsidian: #4, 2437(9%)
minecraft.picked_up.polished_blackstone_button: #4, 44(14%)
minecraft.crafted.heavy_weighted_pressure_plate: #4, 86(10%)
minecraft.used.black_banner: #4, 127(15%)
minecraft.dropped.prismarine_slab: #2, 4(3%)
minecraft.crafted.prismarine_bricks: #2, 163(1%)
minecraft.picked_up.birch_sign: #4, 433(9%)
minecraft.picked_up.crimson_hyphae: #4, 133(18%)
minecraft.crafted.warped_fence_gate: #3, 40(8%)
minecraft.crafted.stone_sword: #4, 8(12%)
minecraft.crafted.green_stained_glass_pane: #3, 160(12%)
minecraft.dropped.magenta_stained_glass_pane: #3, 5(24%)
