stat, rank, value, (percentage) 
minecraft.mined.cracked_polished_blackstone_bricks: #7, 3(1%)
minecraft.picked_up.cyan_dye: #7, 2(1%)
minecraft.crafted.cyan_wool: #7, 1(1%)
minecraft.crafted.iron_pickaxe: #8, 19(4%)
minecraft.mined.tube_coral_block: #7, 9(0%)
minecraft.picked_up.gold_nugget: #7, 807(0%)
minecraft.crafted.yellow_wool: #7, 1(0%)
minecraft.crafted.yellow_carpet: #7, 3(0%)
minecraft.mined.green_concrete: #7, 1(0%)
minecraft.picked_up.cracked_deepslate_bricks: #7, 6(0%)
minecraft.dropped.cobblestone_wall: #7, 1(0%)
minecraft.picked_up.green_concrete: #7, 1(0%)
minecraft.used.blue_concrete_powder: #7, 1(0%)
minecraft.crafted.brown_terracotta: #7, 8(0%)
minecraft.used.wet_sponge: #7, 2(0%)
minecraft.crafted.orange_concrete_powder: #7, 8(0%)
minecraft.used.kelp: #8, 415(5%)
minecraft.crafted.dispenser: #8, 64(4%)
minecraft.crafted.spruce_stairs: #8, 348(4%)
minecraft.mined.deepslate_bricks: #8, 177(4%)
minecraft.crafted.stone_brick_stairs: #8, 99(5%)
minecraft.picked_up.deepslate_bricks: #8, 227(4%)
minecraft.picked_up.iron_sword: #8, 7(4%)
minecraft.picked_up.raw_gold: #8, 726(3%)
minecraft.crafted.quartz_block: #8, 1232(4%)
minecraft.dropped.string: #8, 175(3%)
minecraft.picked_up.sea_lantern: #8, 79(4%)
minecraft.picked_up.iron_shovel: #8, 7(3%)
minecraft.mined.cobweb: #8, 135(4%)
minecraft.mined.iron_ore: #8, 2518(3%)
minecraft.picked_up.flower_pot: #8, 20(4%)
minecraft.broken.iron_helmet: #8, 1(8%)
minecraft.crafted.cobblestone_slab: #8, 270(3%)
minecraft.mined.white_shulker_box: #8, 87(4%)
minecraft.picked_up.white_shulker_box: #8, 88(4%)
minecraft.crafted.black_concrete_powder: #8, 1544(4%)
minecraft.mined.quartz_stairs: #8, 12(5%)
minecraft.picked_up.bamboo: #8, 2775(3%)
minecraft.mined.iron_trapdoor: #8, 32(3%)
minecraft.used.black_concrete_powder: #8, 1343(3%)
minecraft.crafted.deepslate_bricks: #8, 576(3%)
minecraft.mined.stone_slab: #8, 130(3%)
minecraft.mined.terracotta: #8, 4076(3%)
minecraft.picked_up.warped_trapdoor: #8, 12(4%)
minecraft.picked_up.terracotta: #8, 4070(3%)
minecraft.picked_up.deepslate_brick_wall: #8, 15(4%)
minecraft.picked_up.feather: #8, 44(2%)
minecraft.picked_up.emerald: #8, 322(3%)
minecraft.used.egg: #8, 122(2%)
minecraft.used.smooth_sandstone_slab: #8, 244(4%)
minecraft.dropped.netherrack: #8, 3621(2%)
minecraft.crafted.raw_copper: #8, 747(3%)
minecraft.mined.deepslate_tile_wall: #8, 29(3%)
minecraft.used.black_concrete: #8, 525(2%)
minecraft.mined.stone_stairs: #8, 25(2%)
minecraft.mined.birch_trapdoor: #8, 8(3%)
minecraft.crafted.spruce_sign: #8, 60(2%)
minecraft.used.polished_deepslate_wall: #8, 141(2%)
minecraft.dropped.poisonous_potato: #8, 4(3%)
minecraft.dropped.iron_ingot: #8, 121(1%)
minecraft.used.dark_oak_button: #8, 7(2%)
minecraft.used.nether_brick_fence: #8, 16(3%)
minecraft.picked_up.light_gray_carpet: #8, 26(2%)
minecraft.crafted.detector_rail: #8, 6(3%)
minecraft.picked_up.birch_trapdoor: #8, 8(2%)
minecraft.picked_up.sand: #9, 36032(5%)
minecraft.mined.fire: #9, 357(5%)
minecraft.used.cooked_porkchop: #8, 30(1%)
