stat, rank, value, (percentage) 
minecraft.used.polished_granite: #4, 229(11%)
minecraft.used.iron_sword: #4, 1681(9%)
minecraft.mined.deepslate_coal_ore: #4, 984(8%)
minecraft.picked_up.cobblestone_stairs: #4, 75(9%)
minecraft.mined.red_wool: #4, 678(13%)
minecraft.used.chiseled_sandstone: #3, 27(23%)
minecraft.mined.light_gray_stained_glass_pane: #3, 37(11%)
minecraft.mined.acacia_door: #3, 2(18%)
minecraft.picked_up.wooden_axe: #3, 2(18%)
minecraft.picked_up.clay: #4, 424(11%)
minecraft.picked_up.acacia_door: #3, 3(15%)
minecraft.used.stone_pickaxe: #4, 815(7%)
minecraft.mined.acacia_fence_gate: #3, 4(14%)
minecraft.killed.tropical_fish: #3, 6(11%)
minecraft.picked_up.compass: #3, 35(12%)
minecraft.crafted.gold_nugget: #3, 2671(5%)
minecraft.used.mushroom_stem: #3, 138(7%)
minecraft.crafted.cooked_beef: #4, 609(8%)
minecraft.dropped.flower_pot: #3, 8(11%)
minecraft.used.waxed_weathered_copper: #3, 14(16%)
minecraft.crafted.smooth_red_sandstone: #3, 148(11%)
minecraft.crafted.crimson_door: #3, 3(12%)
minecraft.mined.spruce_fence: #4, 194(8%)
minecraft.dropped.kelp: #4, 617(10%)
minecraft.picked_up.wooden_sword: #3, 2(18%)
minecraft.mined.jungle_sign: #3, 3(14%)
minecraft.dropped.diamond_horse_armor: #3, 1(14%)
minecraft.picked_up.spruce_fence: #4, 289(7%)
minecraft.picked_up.spruce_door: #4, 34(9%)
minecraft.dropped.acacia_trapdoor: #3, 2(13%)
minecraft.crafted.red_banner: #3, 13(8%)
minecraft.used.lime_dye: #3, 3(11%)
minecraft.used.fire_coral_block: #3, 55(8%)
minecraft.picked_up.acacia_fence_gate: #3, 3(9%)
minecraft.mined.deepslate_emerald_ore: #4, 17(15%)
minecraft.used.smooth_red_sandstone: #3, 130(13%)
minecraft.crafted.acacia_trapdoor: #4, 474(13%)
minecraft.used.stripped_acacia_wood: #3, 33(10%)
minecraft.mined.fern: #4, 213(9%)
minecraft.crafted.green_bed: #3, 4(12%)
minecraft.mined.yellow_terracotta: #3, 13(5%)
minecraft.dropped.cooked_salmon: #3, 3(12%)
minecraft.dropped.tripwire_hook: #3, 1(20%)
minecraft.picked_up.waxed_weathered_copper: #3, 14(10%)
minecraft.used.jungle_sign: #3, 23(5%)
minecraft.used.red_banner: #3, 10(7%)
minecraft.dropped.jungle_fence: #3, 14(6%)
minecraft.picked_up.red_mushroom: #4, 110(8%)
minecraft.dropped.beef: #3, 36(6%)
minecraft.used.polished_andesite_slab: #4, 283(17%)
minecraft.mined.waxed_weathered_copper: #3, 14(11%)
minecraft.crafted.diorite_stairs: #3, 2(13%)
minecraft.used.lapis_ore: #4, 59(9%)
minecraft.dropped.stripped_oak_wood: #3, 1(10%)
minecraft.used.pink_dye: #3, 1(12%)
minecraft.mined.acacia_pressure_plate: #3, 1(17%)
minecraft.picked_up.fern: #3, 159(5%)
minecraft.used.brick_wall: #3, 40(6%)
minecraft.used.loom: #4, 16(9%)
minecraft.used.diorite_slab: #3, 34(6%)
minecraft.mined.nether_wart: #5, 662(11%)
minecraft.crafted.glass_pane: #4, 19800(9%)
minecraft.mined.dead_tube_coral_fan: #3, 2(11%)
minecraft.crafted.lime_carpet: #3, 33(6%)
minecraft.used.nether_wart: #5, 764(11%)
minecraft.dropped.cooked_beef: #4, 110(8%)
minecraft.picked_up.oak_wood: #4, 138(8%)
minecraft.used.dead_tube_coral_fan: #3, 2(11%)
minecraft.picked_up.dead_tube_coral_fan: #3, 2(11%)
minecraft.picked_up.stone_pickaxe: #4, 4(8%)
minecraft.crafted.smooth_basalt: #3, 53(10%)
minecraft.used.yellow_terracotta: #4, 190(11%)
minecraft.mined.stripped_acacia_wood: #3, 33(7%)
minecraft.mined.stripped_spruce_wood: #3, 23(3%)
minecraft.broken.stone_pickaxe: #4, 6(9%)
minecraft.dropped.black_stained_glass: #3, 14(4%)
minecraft.picked_up.diamond_horse_armor: #4, 5(17%)
minecraft.mined.warped_pressure_plate: #3, 1(12%)
minecraft.picked_up.warped_pressure_plate: #3, 1(12%)
minecraft.picked_up.stripped_spruce_wood: #3, 23(3%)
minecraft.picked_up.leather: #5, 1848(9%)
minecraft.used.stripped_spruce_wood: #3, 18(3%)
minecraft.dropped.gray_terracotta: #3, 3(8%)
minecraft.used.diorite_wall: #4, 35(12%)
minecraft.used.red_sandstone_wall: #3, 29(6%)
minecraft.crafted.acacia_boat: #3, 2(4%)
minecraft.mined.crimson_button: #3, 1(8%)
minecraft.used.nether_sprouts: #3, 7(10%)
minecraft.picked_up.brown_concrete: #3, 46(4%)
minecraft.mined.orange_tulip: #3, 7(3%)
minecraft.used.jungle_pressure_plate: #3, 1(9%)
minecraft.dropped.cooked_cod: #4, 9(12%)
minecraft.dropped.birch_boat: #3, 5(2%)
minecraft.picked_up.blue_ice: #3, 64(3%)
minecraft.dropped.nether_wart: #3, 37(4%)
minecraft.picked_up.yellow_concrete: #4, 213(7%)
minecraft.used.peony: #4, 7(10%)
minecraft.custom.interact_with_stonecutter: #5, 525(9%)
minecraft.dropped.dark_oak_stairs: #3, 2(6%)
minecraft.dropped.compass: #3, 5(5%)
minecraft.dropped.leather_horse_armor: #3, 1(8%)
minecraft.crafted.warped_fence_gate: #4, 44(14%)
minecraft.used.waxed_weathered_cut_copper_slab: #3, 3(8%)
minecraft.mined.kelp_plant: #5, 355(9%)
minecraft.used.tube_coral_fan: #3, 13(3%)
minecraft.dropped.crimson_fungus: #3, 2(6%)
minecraft.crafted.dried_kelp: #3, 64(2%)
minecraft.mined.cut_copper_slab: #4, 22(11%)
minecraft.mined.cobblestone_stairs: #4, 29(6%)
minecraft.used.fern: #3, 40(2%)
minecraft.dropped.raw_copper_block: #3, 5(6%)
minecraft.used.red_glazed_terracotta: #3, 4(6%)
minecraft.crafted.jungle_pressure_plate: #3, 1(6%)
minecraft.mined.diorite_stairs: #3, 1(5%)
minecraft.picked_up.diorite_stairs: #3, 1(5%)
minecraft.mined.spruce_wall_sign: #5, 30(9%)
minecraft.mined.oak_button: #4, 3(12%)
minecraft.used.iron_chestplate: #4, 2(12%)
minecraft.used.warped_door: #4, 7(14%)
minecraft.mined.brown_concrete: #3, 24(1%)
minecraft.dropped.dark_oak_sign: #4, 8(9%)
minecraft.used.acacia_slab: #4, 353(10%)
minecraft.picked_up.dark_oak_boat: #4, 18(6%)
minecraft.picked_up.dark_oak_log: #5, 6038(8%)
minecraft.dropped.honey_block: #3, 3(2%)
minecraft.crafted.spruce_door: #4, 24(6%)
minecraft.used.smooth_red_sandstone_stairs: #3, 9(2%)
minecraft.dropped.item_frame: #4, 6(8%)
minecraft.crafted.lime_glazed_terracotta: #3, 4(3%)
minecraft.dropped.dark_oak_fence_gate: #3, 1(3%)
minecraft.picked_up.raw_copper_block: #4, 27(10%)
minecraft.mined.waxed_exposed_cut_copper_slab: #3, 1(3%)
minecraft.dropped.chiseled_deepslate: #3, 1(2%)
minecraft.used.acacia_pressure_plate: #3, 1(2%)
minecraft.crafted.clock: #4, 70(10%)
minecraft.crafted.acacia_pressure_plate: #3, 1(2%)
minecraft.used.orange_glazed_terracotta: #3, 15(1%)
minecraft.crafted.smooth_red_sandstone_slab: #3, 8(2%)
minecraft.used.brown_concrete: #3, 18(1%)
minecraft.crafted.red_sandstone_stairs: #3, 8(1%)
minecraft.picked_up.orange_glazed_terracotta: #3, 2(1%)
minecraft.mined.orange_glazed_terracotta: #3, 2(1%)
minecraft.crafted.red_glazed_terracotta: #3, 4(0%)
minecraft.used.leather_helmet: #4, 1(14%)
minecraft.dropped.soul_lantern: #4, 1(20%)
