stat, rank, value, (percentage) 
minecraft.custom.walk_one_cm: #4, 102605207(6%)
minecraft.mined.chiseled_polished_blackstone: #2, 7(17%)
minecraft.crafted.gray_bed: #2, 114(34%)
minecraft.mined.white_shulker_box: #3, 246(12%)
minecraft.picked_up.yellow_terracotta: #3, 51(14%)
minecraft.mined.sandstone: #4, 14763(12%)
minecraft.picked_up.purple_bed: #2, 6(20%)
minecraft.dropped.netherite_helmet: #2, 2(12%)
minecraft.picked_up.white_shulker_box: #3, 249(12%)
minecraft.crafted.waxed_exposed_copper: #2, 14(33%)
minecraft.picked_up.jungle_slab: #3, 162(15%)
minecraft.crafted.birch_fence: #3, 129(13%)
minecraft.crafted.magenta_dye: #3, 173(8%)
minecraft.crafted.acacia_trapdoor: #3, 558(15%)
minecraft.used.polished_blackstone_button: #3, 446(12%)
minecraft.used.white_shulker_box: #3, 248(11%)
minecraft.picked_up.waxed_exposed_copper: #2, 16(23%)
minecraft.picked_up.stone_slab: #3, 625(9%)
minecraft.dropped.black_carpet: #2, 8(30%)
minecraft.dropped.chipped_anvil: #2, 2(22%)
minecraft.mined.waxed_exposed_copper: #2, 16(22%)
minecraft.dropped.oak_boat: #2, 56(5%)
minecraft.picked_up.glowstone: #3, 535(8%)
minecraft.dropped.wooden_hoe: #2, 1(14%)
minecraft.dropped.mossy_cobblestone_wall: #2, 11(42%)
minecraft.dropped.cooked_chicken: #3, 46(14%)
minecraft.mined.activator_rail: #2, 9(12%)
minecraft.mined.soul_campfire: #2, 1(17%)
minecraft.crafted.cooked_beef: #3, 622(8%)
minecraft.used.andesite_stairs: #3, 131(13%)
minecraft.picked_up.amethyst_cluster: #3, 620(10%)
minecraft.broken.golden_chestplate: #2, 1(20%)
minecraft.picked_up.blackstone_stairs: #2, 12(11%)
minecraft.picked_up.chainmail_chestplate: #3, 7(9%)
minecraft.picked_up.diamond_helmet: #3, 23(8%)
minecraft.mined.dead_bubble_coral_block: #2, 51(13%)
minecraft.used.tube_coral_block: #2, 116(15%)
minecraft.killed_by.spider: #2, 1(12%)
minecraft.broken.leather_helmet: #2, 1(25%)
minecraft.broken.golden_helmet: #2, 1(12%)
minecraft.crafted.conduit: #2, 1(25%)
minecraft.dropped.tube_coral: #2, 1(25%)
minecraft.mined.white_concrete_powder: #3, 319(11%)
minecraft.crafted.diamond_shovel: #3, 9(7%)
minecraft.dropped.smooth_basalt: #3, 109(10%)
minecraft.used.minecart: #4, 158(11%)
minecraft.mined.black_glazed_terracotta: #2, 8(36%)
minecraft.dropped.acacia_boat: #2, 2(18%)
minecraft.mined.acacia_button: #2, 19(17%)
minecraft.picked_up.ink_sac: #4, 1289(11%)
minecraft.used.red_candle: #3, 25(21%)
minecraft.mined.waxed_exposed_cut_copper: #2, 2(22%)
minecraft.picked_up.pink_bed: #2, 2(17%)
minecraft.used.golden_sword: #2, 7(22%)
minecraft.mined.magenta_stained_glass: #2, 26(5%)
minecraft.used.chiseled_polished_blackstone: #3, 64(21%)
minecraft.dropped.warped_planks: #3, 72(15%)
minecraft.used.packed_ice: #3, 852(10%)
minecraft.picked_up.armor_stand: #3, 57(9%)
minecraft.dropped.scaffolding: #3, 301(9%)
minecraft.used.nether_wart: #4, 823(12%)
minecraft.used.gray_bed: #2, 68(20%)
minecraft.used.amethyst_cluster: #3, 386(11%)
minecraft.used.light_blue_stained_glass: #3, 708(12%)
minecraft.mined.polished_blackstone_wall: #3, 20(16%)
minecraft.used.deepslate: #4, 4540(10%)
