stat, rank, value, (percentage) 
minecraft.picked_up.leather_leggings: #8, 13(4%)
minecraft.dropped.suspicious_stew: #7, 1(2%)
minecraft.crafted.white_bed: #8, 20(4%)
minecraft.mined.sandstone: #8, 5375(4%)
minecraft.used.stripped_spruce_wood: #7, 5(1%)
minecraft.used.hopper: #8, 677(4%)
minecraft.used.stone_bricks: #8, 4085(5%)
minecraft.picked_up.jungle_sign: #7, 2(1%)
minecraft.picked_up.enchanted_book: #8, 25(4%)
minecraft.picked_up.light_gray_terracotta: #7, 46(0%)
minecraft.picked_up.ender_chest: #8, 224(4%)
minecraft.used.end_stone_bricks: #7, 3(0%)
minecraft.picked_up.white_tulip: #7, 5(0%)
minecraft.mined.light_gray_terracotta: #7, 18(0%)
minecraft.picked_up.chainmail_leggings: #8, 5(5%)
minecraft.picked_up.beef: #8, 563(4%)
minecraft.picked_up.iron_ore: #8, 882(4%)
minecraft.picked_up.leather_helmet: #8, 9(4%)
minecraft.used.glass: #8, 1171(3%)
minecraft.picked_up.deepslate_brick_slab: #8, 82(4%)
minecraft.used.lapis_ore: #8, 32(5%)
minecraft.picked_up.deepslate_tile_slab: #8, 207(3%)
minecraft.picked_up.brewing_stand: #8, 11(4%)
minecraft.used.lectern: #8, 205(4%)
minecraft.picked_up.white_concrete: #8, 1458(4%)
minecraft.crafted.smoker: #8, 4(5%)
minecraft.used.birch_sign: #8, 47(3%)
minecraft.picked_up.lectern: #8, 197(4%)
minecraft.mined.oak_planks: #8, 402(3%)
minecraft.crafted.fermented_spider_eye: #8, 21(4%)
minecraft.killed_by.enderman: #8, 1(6%)
minecraft.mined.lectern: #8, 197(4%)
minecraft.dropped.leather_helmet: #8, 7(3%)
minecraft.dropped.coal_ore: #8, 49(3%)
minecraft.used.damaged_anvil: #8, 3(3%)
minecraft.crafted.shulker_box: #8, 114(2%)
minecraft.picked_up.chainmail_helmet: #8, 3(4%)
minecraft.used.netherite_axe: #8, 7217(5%)
minecraft.picked_up.nautilus_shell: #8, 8(4%)
minecraft.picked_up.cobbled_deepslate_slab: #8, 41(3%)
minecraft.used.yellow_bed: #8, 7(3%)
minecraft.used.suspicious_stew: #8, 2(5%)
minecraft.mined.dark_oak_wall_sign: #8, 11(2%)
minecraft.dropped.sandstone: #8, 95(2%)
minecraft.crafted.cobbled_deepslate_wall: #8, 33(3%)
minecraft.crafted.deepslate: #8, 35(4%)
minecraft.dropped.poppy: #8, 644(2%)
minecraft.picked_up.netherite_sword: #8, 3(2%)
minecraft.mined.deepslate_brick_stairs: #8, 22(2%)
minecraft.killed.piglin: #8, 14(2%)
minecraft.used.azalea: #8, 74(1%)
minecraft.crafted.hopper: #9, 620(5%)
minecraft.dropped.cooked_porkchop: #8, 6(2%)
