stat, rank, value, (percentage) 
minecraft.mined.mossy_cobblestone_slab: #2, 41(4%)
minecraft.crafted.polished_blackstone_slab: #3, 122(11%)
minecraft.used.oak_button: #3, 17(8%)
minecraft.crafted.polished_andesite_slab: #3, 102(18%)
minecraft.mined.potted_flowering_azalea_bush: #3, 4(25%)
minecraft.mined.magenta_stained_glass_pane: #2, 1(12%)
minecraft.picked_up.gray_carpet: #3, 80(8%)
minecraft.picked_up.brown_bed: #2, 3(6%)
minecraft.crafted.light_blue_wool: #3, 26(14%)
minecraft.used.music_disc_far: #2, 1(11%)
minecraft.crafted.snow: #2, 708(4%)
minecraft.picked_up.vine: #4, 1312(12%)
minecraft.picked_up.magenta_stained_glass: #3, 14(11%)
minecraft.used.weeping_vines: #2, 26(2%)
minecraft.dropped.red_sand: #2, 25(2%)
minecraft.used.cyan_concrete: #2, 49(8%)
minecraft.dropped.glow_berries: #3, 11(10%)
minecraft.dropped.stone_bricks: #3, 168(6%)
minecraft.crafted.polished_deepslate_slab: #3, 320(5%)
minecraft.killed.turtle: #2, 9(5%)
minecraft.custom.deaths: #4, 83(7%)
minecraft.crafted.jungle_fence_gate: #3, 15(11%)
minecraft.used.dark_prismarine_slab: #3, 102(22%)
minecraft.crafted.diamond_boots: #4, 7(8%)
minecraft.used.jungle_door: #3, 19(21%)
minecraft.mined.spruce_leaves: #4, 9865(8%)
minecraft.picked_up.nether_bricks: #5, 1051(14%)
minecraft.picked_up.iron_trapdoor: #4, 104(10%)
minecraft.crafted.bucket: #4, 373(8%)
minecraft.crafted.acacia_fence_gate: #3, 18(12%)
minecraft.dropped.oak_wood: #2, 1(2%)
minecraft.crafted.dark_prismarine_slab: #3, 96(21%)
minecraft.crafted.smooth_red_sandstone_stairs: #2, 4(1%)
minecraft.used.mossy_stone_brick_stairs: #3, 108(13%)
minecraft.used.andesite_slab: #3, 380(6%)
minecraft.crafted.campfire: #4, 135(9%)
minecraft.picked_up.quartz: #4, 4249(8%)
minecraft.mined.potted_blue_orchid: #3, 1(33%)
minecraft.mined.birch_pressure_plate: #3, 1(33%)
minecraft.used.oak_slab: #4, 569(9%)
minecraft.mined.iron_door: #4, 18(11%)
minecraft.crafted.jungle_stairs: #3, 108(8%)
minecraft.crafted.oak_stairs: #4, 272(11%)
minecraft.crafted.light_gray_banner: #3, 6(23%)
minecraft.dropped.shulker_shell: #3, 72(11%)
minecraft.picked_up.mossy_stone_bricks: #3, 378(6%)
minecraft.mined.pink_carpet: #3, 4(29%)
minecraft.dropped.grass: #4, 39(12%)
minecraft.used.coarse_dirt: #4, 2886(8%)
minecraft.used.birch_pressure_plate: #3, 2(17%)
minecraft.crafted.stone_brick_slab: #4, 1368(10%)
minecraft.mined.dark_prismarine_slab: #3, 6(21%)
minecraft.used.filled_map: #3, 21(21%)
minecraft.dropped.purpur_stairs: #3, 11(12%)
minecraft.dropped.spruce_slab: #4, 69(11%)
minecraft.mined.jungle_fence_gate: #3, 6(10%)
minecraft.crafted.red_wool: #3, 64(6%)
minecraft.mined.blue_orchid: #4, 75(15%)
minecraft.picked_up.pink_carpet: #3, 4(25%)
minecraft.mined.lily_pad: #3, 47(5%)
minecraft.mined.oak_slab: #4, 104(7%)
minecraft.picked_up.shulker_shell: #4, 818(9%)
minecraft.custom.interact_with_cartography_table: #4, 30(13%)
minecraft.used.jungle_planks: #3, 471(4%)
minecraft.picked_up.jungle_fence_gate: #3, 6(10%)
minecraft.used.purpur_slab: #3, 3(17%)
minecraft.picked_up.stripped_dark_oak_wood: #4, 381(15%)
minecraft.mined.activator_rail: #3, 7(9%)
minecraft.crafted.minecart: #5, 126(10%)
minecraft.used.glow_ink_sac: #4, 121(6%)
minecraft.dropped.dead_bush: #3, 1(20%)
minecraft.picked_up.book: #5, 2216(13%)
minecraft.mined.birch_stairs: #4, 26(9%)
minecraft.picked_up.jungle_wood: #3, 15(10%)
minecraft.crafted.orange_terracotta: #4, 168(14%)
minecraft.dropped.end_stone: #4, 38(13%)
minecraft.custom.interact_with_loom: #4, 15(10%)
minecraft.picked_up.hay_block: #4, 199(7%)
minecraft.dropped.cracked_stone_bricks: #3, 3(9%)
minecraft.picked_up.filled_map: #4, 64(7%)
minecraft.crafted.cobblestone_stairs: #4, 176(7%)
minecraft.dropped.glow_ink_sac: #4, 120(8%)
minecraft.picked_up.acacia_sign: #3, 4(8%)
minecraft.dropped.polished_deepslate_slab: #3, 23(5%)
minecraft.picked_up.seagrass: #4, 191(11%)
minecraft.crafted.andesite: #3, 1202(11%)
minecraft.picked_up.black_bed: #3, 16(6%)
minecraft.dropped.iron_chestplate: #4, 5(8%)
minecraft.used.stripped_dark_oak_wood: #4, 351(13%)
minecraft.mined.poppy: #4, 146(6%)
minecraft.crafted.warped_slab: #4, 420(10%)
minecraft.used.terracotta: #4, 508(9%)
minecraft.crafted.yellow_carpet: #3, 51(5%)
minecraft.dropped.stripped_dark_oak_wood: #3, 1(12%)
minecraft.mined.oak_wall_sign: #4, 17(7%)
minecraft.picked_up.chainmail_leggings: #4, 7(7%)
minecraft.dropped.crimson_roots: #3, 11(2%)
minecraft.mined.warped_hyphae: #3, 3(9%)
minecraft.mined.birch_slab: #4, 48(6%)
minecraft.crafted.stone_bricks: #4, 7310(6%)
minecraft.mined.white_candle: #3, 3(11%)
minecraft.crafted.oak_button: #4, 24(8%)
minecraft.dropped.brown_concrete: #3, 5(8%)
minecraft.picked_up.jungle_trapdoor: #3, 47(3%)
minecraft.used.snow: #3, 599(3%)
minecraft.used.lightning_rod: #4, 135(6%)
minecraft.used.andesite_wall: #4, 209(9%)
minecraft.crafted.bookshelf: #5, 748(9%)
minecraft.crafted.green_concrete_powder: #4, 240(14%)
minecraft.crafted.coarse_dirt: #4, 1732(6%)
minecraft.dropped.snow_block: #3, 103(2%)
minecraft.crafted.glowstone: #3, 145(1%)
minecraft.mined.brown_bed: #3, 3(6%)
minecraft.picked_up.quartz_stairs: #4, 37(9%)
minecraft.picked_up.stone_brick_stairs: #4, 119(6%)
minecraft.crafted.oak_fence: #4, 231(6%)
minecraft.crafted.sandstone: #4, 353(8%)
minecraft.crafted.pink_shulker_box: #4, 2(13%)
