stat, rank, value, (percentage) 
minecraft.crafted.purple_bed: #1, 1(50%)
minecraft.crafted.red_mushroom: #1, 12(100%)
minecraft.crafted.pufferfish_bucket: #1, 1(100%)
minecraft.crafted.wooden_axe: #1, 1(11%)
minecraft.dropped.brown_concrete_powder: #1, 1(100%)
minecraft.dropped.creeper_head: #1, 1(100%)
minecraft.dropped.cyan_bed: #1, 3(100%)
minecraft.dropped.stripped_jungle_wood: #1, 1(100%)
minecraft.dropped.light_gray_candle: #1, 32(100%)
minecraft.dropped.enchanted_golden_apple: #1, 1(100%)
minecraft.dropped.magenta_glazed_terracotta: #1, 12(100%)
minecraft.dropped.bell: #1, 28(100%)
minecraft.dropped.music_disc_11: #1, 1(100%)
minecraft.dropped.spruce_wood: #1, 27(100%)
minecraft.dropped.magenta_bed: #1, 2(100%)
minecraft.dropped.warped_stairs: #1, 7(100%)
minecraft.dropped.stone_sword: #2, 59(9%)
minecraft.dropped.light_gray_stained_glass: #2, 49(25%)
minecraft.picked_up.deepslate_tile_slab: #3, 744(12%)
minecraft.dropped.iron_pickaxe: #2, 8(12%)
minecraft.picked_up.chain: #2, 211(9%)
minecraft.mined.acacia_stairs: #2, 39(19%)
minecraft.crafted.crossbow: #2, 14(27%)
minecraft.used.wither_skeleton_skull: #2, 47(12%)
minecraft.dropped.dripstone_block: #3, 438(22%)
minecraft.used.acacia_stairs: #2, 231(19%)
minecraft.picked_up.cyan_wool: #2, 243(24%)
minecraft.used.moss_block: #3, 7522(12%)
minecraft.mined.flower_pot: #3, 17(16%)
minecraft.picked_up.blue_wool: #2, 202(27%)
minecraft.crafted.light_gray_dye: #3, 990(12%)
minecraft.crafted.cobblestone_stairs: #2, 216(9%)
minecraft.used.stonecutter: #3, 126(11%)
minecraft.dropped.deepslate_tile_wall: #2, 25(36%)
minecraft.mined.infested_stone: #3, 73(17%)
minecraft.picked_up.light_blue_dye: #2, 45(20%)
minecraft.crafted.cartography_table: #2, 22(16%)
minecraft.killed.trader_llama: #2, 16(9%)
minecraft.picked_up.spruce_fence_gate: #3, 142(15%)
minecraft.dropped.sugar_cane: #2, 523(9%)
minecraft.mined.crimson_stem: #4, 848(17%)
minecraft.used.minecart: #3, 160(11%)
minecraft.used.wooden_pickaxe: #3, 59(12%)
minecraft.mined.blackstone_stairs: #2, 19(25%)
minecraft.crafted.bone_block: #3, 9753(14%)
minecraft.mined.stonecutter: #3, 112(11%)
minecraft.picked_up.chainmail_helmet: #3, 15(19%)
minecraft.picked_up.waxed_weathered_copper: #2, 40(28%)
minecraft.picked_up.stonecutter: #3, 113(11%)
minecraft.picked_up.polished_andesite: #4, 462(17%)
minecraft.custom.interact_with_campfire: #2, 26(33%)
minecraft.dropped.acacia_trapdoor: #2, 5(33%)
minecraft.mined.spruce_wood: #2, 36(21%)
minecraft.dropped.light_gray_terracotta: #2, 63(21%)
minecraft.mined.flowering_azalea: #3, 151(12%)
minecraft.mined.stripped_spruce_wood: #2, 94(13%)
minecraft.picked_up.birch_sign: #3, 97(10%)
minecraft.used.golden_carrot: #3, 3647(10%)
minecraft.killed_by.iron_golem: #2, 3(23%)
minecraft.picked_up.wither_skeleton_skull: #2, 61(9%)
minecraft.picked_up.oxeye_daisy: #2, 208(9%)
minecraft.dropped.cooked_salmon: #2, 8(32%)
