stat, rank, value, (percentage) 
minecraft.dropped.cut_sandstone_slab: #1, 14(54%)
minecraft.used.red_stained_glass_pane: #2, 47(35%)
minecraft.mined.pink_carpet: #1, 5(36%)
minecraft.used.horn_coral_fan: #2, 94(21%)
minecraft.used.player_head: #3, 131(11%)
minecraft.used.cobbled_deepslate: #3, 3259(11%)
minecraft.mined.oxidized_cut_copper: #2, 39(23%)
minecraft.dropped.cooked_chicken: #2, 51(16%)
minecraft.mined.horn_coral_fan: #3, 67(25%)
minecraft.used.andesite_stairs: #2, 145(14%)
minecraft.used.dead_horn_coral_fan: #1, 1(25%)
minecraft.used.waxed_oxidized_cut_copper_slab: #1, 4(100%)
minecraft.mined.red_stained_glass_pane: #1, 7(100%)
minecraft.mined.magenta_banner: #1, 1(100%)
minecraft.mined.waxed_oxidized_cut_copper_slab: #1, 4(100%)
minecraft.mined.dead_brain_coral_wall_fan: #1, 1(100%)
minecraft.mined.waxed_oxidized_cut_copper_stairs: #1, 6(100%)
minecraft.mined.potted_wither_rose: #1, 1(25%)
minecraft.picked_up.magenta_banner: #1, 2(100%)
minecraft.picked_up.waxed_oxidized_cut_copper_stairs: #1, 6(100%)
minecraft.picked_up.birch_pressure_plate: #1, 1(50%)
minecraft.picked_up.red_stained_glass_pane: #1, 7(100%)
minecraft.picked_up.waxed_oxidized_cut_copper_slab: #1, 4(100%)
minecraft.crafted.stripped_warped_hyphae: #1, 240(100%)
minecraft.crafted.exposed_cut_copper_stairs: #1, 20(100%)
minecraft.dropped.netherite_chestplate: #1, 1(100%)
minecraft.dropped.popped_chorus_fruit: #1, 1(100%)
minecraft.dropped.polished_granite_slab: #1, 1(100%)
minecraft.dropped.purple_carpet: #1, 2(50%)
minecraft.dropped.lime_stained_glass_pane: #1, 1(100%)
minecraft.dropped.dark_oak_pressure_plate: #1, 1(100%)
minecraft.dropped.light_blue_shulker_box: #1, 1(100%)
minecraft.used.golden_boots: #1, 1(33%)
minecraft.mined.potted_blue_orchid: #1, 1(33%)
minecraft.mined.birch_pressure_plate: #1, 1(33%)
minecraft.dropped.feather: #2, 60(11%)
minecraft.picked_up.oxidized_cut_copper: #2, 39(22%)
minecraft.used.warped_roots: #2, 20(20%)
minecraft.dropped.rooted_dirt: #2, 32(24%)
minecraft.used.fire_coral: #2, 61(28%)
minecraft.picked_up.waxed_copper_block: #2, 38(19%)
minecraft.crafted.black_shulker_box: #2, 9(17%)
minecraft.used.flowering_azalea: #3, 237(13%)
minecraft.used.torch: #2, 12277(7%)
minecraft.picked_up.diamond_block: #3, 182(14%)
minecraft.used.exposed_cut_copper_stairs: #2, 52(31%)
minecraft.mined.large_amethyst_bud: #2, 147(10%)
minecraft.picked_up.jungle_log: #3, 4215(14%)
minecraft.picked_up.waxed_cut_copper_slab: #2, 90(31%)
minecraft.picked_up.horn_coral: #2, 97(20%)
minecraft.picked_up.deepslate_tile_wall: #3, 188(19%)
minecraft.used.diorite: #3, 1138(11%)
minecraft.picked_up.blackstone: #3, 5690(11%)
minecraft.mined.dark_oak_trapdoor: #3, 93(13%)
minecraft.picked_up.polished_blackstone_brick_stairs: #2, 77(16%)
minecraft.used.diamond_ore: #3, 200(13%)
minecraft.used.copper_block: #3, 3002(14%)
minecraft.used.waxed_weathered_copper: #2, 32(36%)
minecraft.mined.twisting_vines_plant: #3, 119(16%)
minecraft.picked_up.fire_coral: #2, 103(20%)
minecraft.mined.blue_concrete: #2, 131(29%)
minecraft.picked_up.iron_bars: #3, 275(11%)
minecraft.used.chest_minecart: #2, 6(19%)
minecraft.crafted.chest_minecart: #2, 6(19%)
minecraft.picked_up.spruce_fence: #3, 465(12%)
minecraft.used.stripped_warped_hyphae: #2, 215(25%)
minecraft.picked_up.glowstone_dust: #3, 500(12%)
minecraft.killed.enderman: #3, 44353(12%)
minecraft.used.black_concrete_powder: #3, 5793(14%)
minecraft.custom.interact_with_stonecutter: #3, 635(11%)
minecraft.used.bubble_coral: #2, 59(28%)
minecraft.used.deepslate_tile_wall: #3, 1055(16%)
minecraft.used.blue_candle: #2, 25(28%)
minecraft.picked_up.polished_blackstone_brick_wall: #2, 8(33%)
minecraft.mined.spruce_sapling: #2, 26(8%)
minecraft.crafted.polished_deepslate_stairs: #2, 167(10%)
minecraft.picked_up.blue_concrete: #2, 131(28%)
minecraft.crafted.purple_wool: #2, 13(41%)
minecraft.used.lime_shulker_box: #2, 389(10%)
minecraft.picked_up.diamond_axe: #3, 60(10%)
minecraft.used.tube_coral_fan: #2, 94(20%)
minecraft.mined.polished_blackstone_brick_wall: #2, 8(32%)
minecraft.used.black_candle: #2, 48(18%)
minecraft.picked_up.dark_oak_pressure_plate: #2, 7(20%)
minecraft.used.cake: #2, 10(16%)
minecraft.used.black_stained_glass_pane: #2, 555(11%)
minecraft.used.oxidized_cut_copper_stairs: #2, 538(17%)
minecraft.used.deepslate_iron_ore: #3, 180(13%)
minecraft.used.deepslate_tiles: #3, 4102(11%)
minecraft.mined.black_candle: #2, 8(38%)
minecraft.crafted.cut_copper_stairs: #2, 80(19%)
minecraft.mined.weathered_cut_copper_stairs: #2, 28(30%)
minecraft.used.iron_leggings: #2, 3(17%)
minecraft.mined.waxed_cut_copper_slab: #2, 82(37%)
minecraft.mined.diamond_block: #3, 175(16%)
minecraft.crafted.black_concrete_powder: #3, 5840(14%)
minecraft.used.horn_coral: #2, 66(30%)
minecraft.mined.birch_planks: #3, 156(11%)
minecraft.picked_up.deepslate_lapis_ore: #3, 56(13%)
minecraft.picked_up.weathered_cut_copper_stairs: #2, 28(29%)
minecraft.mined.horn_coral: #2, 67(15%)
minecraft.used.fire_coral_fan: #2, 169(24%)
minecraft.mined.bubble_coral_fan: #3, 67(25%)
minecraft.picked_up.polished_blackstone_wall: #2, 28(15%)
minecraft.picked_up.bubble_coral: #2, 76(16%)
minecraft.killed_by.skeleton: #3, 11(14%)
minecraft.picked_up.flowering_azalea: #3, 470(11%)
minecraft.custom.play_record: #2, 8(24%)
minecraft.crafted.nether_brick_fence: #2, 108(20%)
