stat, rank, value, (percentage) 
minecraft.mined.sea_pickle: #7, 23(1%)
minecraft.mined.warped_sign: #7, 1(3%)
minecraft.picked_up.end_crystal: #7, 22(2%)
minecraft.mined.repeater: #8, 108(5%)
minecraft.used.mossy_cobblestone_stairs: #7, 9(2%)
minecraft.used.polished_granite_slab: #7, 7(2%)
minecraft.used.oak_log: #8, 722(5%)
minecraft.crafted.chiseled_polished_blackstone: #7, 1(2%)
minecraft.crafted.sponge: #7, 27(2%)
minecraft.used.black_candle: #7, 4(1%)
minecraft.used.mossy_cobblestone_wall: #7, 3(2%)
minecraft.used.oxidized_cut_copper_stairs: #7, 35(1%)
minecraft.crafted.dried_kelp: #7, 29(1%)
minecraft.crafted.mossy_cobblestone_slab: #7, 14(1%)
minecraft.used.stripped_jungle_wood: #7, 2(1%)
minecraft.dropped.ladder: #7, 25(1%)
minecraft.used.cookie: #7, 3(1%)
minecraft.used.green_concrete_powder: #7, 8(1%)
minecraft.used.jungle_leaves: #7, 5(1%)
minecraft.dropped.polished_diorite: #7, 2(1%)
minecraft.custom.fish_caught: #7, 3(0%)
minecraft.used.sea_pickle: #7, 38(0%)
minecraft.picked_up.golden_helmet: #8, 13(4%)
minecraft.used.green_terracotta: #7, 38(0%)
minecraft.dropped.smooth_sandstone: #7, 1(0%)
minecraft.dropped.fire_charge: #7, 1(0%)
minecraft.used.raw_iron_block: #7, 4(0%)
minecraft.dropped.pumpkin: #7, 4(0%)
minecraft.crafted.melon: #7, 4(0%)
minecraft.crafted.oak_fence: #8, 186(5%)
minecraft.dropped.dark_oak_log: #8, 64(5%)
minecraft.mined.blast_furnace: #8, 7(5%)
minecraft.picked_up.iron_pickaxe: #8, 8(5%)
minecraft.picked_up.amethyst_shard: #8, 1800(4%)
minecraft.used.coarse_dirt: #8, 1359(4%)
minecraft.picked_up.glowstone_dust: #8, 158(4%)
minecraft.picked_up.piston: #8, 113(4%)
minecraft.dropped.golden_helmet: #8, 12(4%)
minecraft.used.oak_slab: #8, 241(4%)
