stat, rank, value, (percentage) 
minecraft.custom.interact_with_smithing_table: #10, 11(3%)
minecraft.crafted.cooked_porkchop: #10, 18(3%)
minecraft.crafted.enchanting_table: #10, 1(3%)
minecraft.used.netherite_pickaxe: #10, 87588(4%)
minecraft.picked_up.porkchop: #10, 34(2%)
minecraft.used.polished_deepslate: #10, 856(2%)
minecraft.crafted.deepslate_brick_stairs: #10, 22(3%)
minecraft.picked_up.polished_blackstone_button: #10, 23(2%)
minecraft.picked_up.bamboo: #10, 1744(2%)
minecraft.mined.purpur_block: #10, 41(2%)
minecraft.mined.andesite_slab: #10, 11(2%)
minecraft.used.deepslate_tile_wall: #10, 130(2%)
minecraft.picked_up.purpur_stairs: #10, 4(2%)
minecraft.dropped.dark_oak_log: #10, 18(2%)
minecraft.picked_up.crossbow: #10, 3(1%)
minecraft.picked_up.sugar: #10, 12(2%)
minecraft.dropped.stone_sword: #10, 7(1%)
minecraft.used.blackstone: #10, 189(1%)
minecraft.used.deepslate_lapis_ore: #10, 2(1%)
minecraft.crafted.compass: #10, 6(1%)
minecraft.mined.dragon_wall_head: #10, 1(1%)
minecraft.used.spruce_pressure_plate: #10, 1(1%)
minecraft.crafted.black_stained_glass_pane: #10, 64(1%)
minecraft.used.polished_blackstone_button: #10, 31(1%)
minecraft.used.wither_skeleton_skull: #10, 3(1%)
minecraft.used.brown_mushroom: #10, 10(1%)
minecraft.used.red_dye: #10, 1(1%)
minecraft.custom.time_since_death: #12, 6829493(4%)
minecraft.crafted.gray_stained_glass: #10, 96(1%)
minecraft.picked_up.nether_star: #10, 1(1%)
minecraft.used.clay: #10, 12(1%)
minecraft.picked_up.wither_skeleton_skull: #10, 3(0%)
minecraft.picked_up.emerald_ore: #10, 1(1%)
minecraft.used.black_stained_glass_pane: #10, 25(1%)
minecraft.picked_up.blaze_powder: #10, 1(0%)
minecraft.dropped.sweet_berries: #10, 2(0%)
minecraft.crafted.deepslate: #10, 5(1%)
minecraft.used.cracked_deepslate_bricks: #10, 19(0%)
minecraft.picked_up.splash_potion: #10, 2(0%)
