stat, rank, value, (percentage) 
minecraft.picked_up.diamond_shovel: #5, 32(6%)
minecraft.crafted.stone_shovel: #5, 21(7%)
minecraft.crafted.iron_helmet: #5, 5(6%)
minecraft.crafted.dried_kelp_block: #4, 167(5%)
minecraft.picked_up.ghast_tear: #5, 45(8%)
minecraft.custom.fill_cauldron: #4, 11(2%)
minecraft.used.blue_wool: #4, 8(6%)
minecraft.used.nether_quartz_ore: #5, 457(8%)
minecraft.crafted.name_tag: #4, 144(5%)
minecraft.used.fletching_table: #4, 5(4%)
minecraft.custom.eat_cake_slice: #4, 4(4%)
minecraft.crafted.packed_ice: #4, 194(4%)
minecraft.used.sea_lantern: #5, 463(6%)
minecraft.dropped.yellow_dye: #4, 6(5%)
minecraft.dropped.ink_sac: #4, 31(1%)
minecraft.used.white_concrete_powder: #5, 7021(6%)
minecraft.mined.fletching_table: #4, 4(4%)
minecraft.dropped.nether_brick: #4, 19(5%)
minecraft.crafted.polished_blackstone_pressure_plate: #4, 22(4%)
minecraft.dropped.wheat_seeds: #5, 3814(5%)
minecraft.used.magenta_wool: #4, 8(3%)
minecraft.dropped.tinted_glass: #4, 2(3%)
minecraft.crafted.oak_fence: #5, 222(6%)
minecraft.used.orange_banner: #4, 1(4%)
minecraft.crafted.blue_wool: #4, 5(2%)
minecraft.crafted.fletching_table: #5, 4(13%)
minecraft.crafted.orange_banner: #4, 1(4%)
minecraft.picked_up.dried_kelp: #4, 151(3%)
minecraft.dropped.light_blue_dye: #4, 3(2%)
minecraft.crafted.light_blue_wool: #5, 24(13%)
minecraft.used.iron_chestplate: #5, 2(12%)
minecraft.picked_up.hopper: #5, 264(4%)
minecraft.crafted.blaze_powder: #5, 116(4%)
minecraft.mined.smooth_quartz_stairs: #5, 82(14%)
minecraft.dropped.lapis_lazuli: #5, 41(7%)
minecraft.picked_up.music_disc_13: #5, 2(11%)
minecraft.dropped.white_banner: #4, 2(2%)
minecraft.dropped.magenta_dye: #4, 3(2%)
minecraft.dropped.oak_fence_gate: #4, 2(3%)
minecraft.dropped.jack_o_lantern: #4, 1(2%)
minecraft.dropped.light_gray_dye: #4, 5(2%)
minecraft.picked_up.orange_dye: #4, 4(1%)
minecraft.picked_up.potion: #5, 44(5%)
minecraft.used.stone_hoe: #5, 368(6%)
minecraft.dropped.warped_stem: #4, 1(1%)
minecraft.dropped.fire_charge: #4, 3(1%)
minecraft.crafted.leather_leggings: #5, 14(9%)
minecraft.picked_up.green_dye: #5, 29(8%)
minecraft.mined.white_wool: #5, 82(4%)
minecraft.dropped.soul_lantern: #5, 1(20%)
minecraft.used.iron_leggings: #5, 2(11%)
minecraft.picked_up.lapis_block: #5, 58(7%)
minecraft.crafted.bucket: #5, 171(4%)
minecraft.used.chest_minecart: #5, 3(10%)
minecraft.crafted.chest_minecart: #5, 3(10%)
minecraft.mined.carrots: #6, 1378(8%)
minecraft.used.smooth_quartz_stairs: #5, 347(7%)
minecraft.dropped.deepslate_brick_slab: #5, 23(7%)
minecraft.crafted.stonecutter: #5, 9(3%)
minecraft.crafted.smooth_quartz_stairs: #5, 53(9%)
minecraft.picked_up.furnace: #6, 114(7%)
minecraft.mined.cake: #5, 1(14%)
minecraft.crafted.chiseled_stone_bricks: #5, 320(9%)
minecraft.mined.chorus_plant: #5, 19(4%)
minecraft.dropped.green_dye: #5, 12(10%)
minecraft.mined.iron_door: #6, 15(9%)
minecraft.broken.stone_hoe: #5, 2(6%)
minecraft.dropped.white_shulker_box: #5, 1(12%)
minecraft.used.glow_item_frame: #6, 43(8%)
minecraft.dropped.stone_stairs: #5, 11(7%)
minecraft.crafted.pumpkin_seeds: #5, 44(4%)
minecraft.picked_up.ice: #5, 2524(4%)
minecraft.broken.stone_shovel: #5, 5(4%)
minecraft.mined.ice: #5, 2474(3%)
minecraft.picked_up.cobblestone_slab: #6, 162(6%)
minecraft.dropped.quartz: #5, 76(4%)
minecraft.dropped.sugar_cane: #5, 149(3%)
minecraft.picked_up.prismarine: #5, 260(4%)
minecraft.crafted.oak_boat: #5, 26(2%)
minecraft.used.stone_axe: #6, 363(6%)
minecraft.dropped.golden_sword: #5, 4(3%)
minecraft.mined.glass: #6, 665(6%)
minecraft.mined.repeater: #6, 132(6%)
minecraft.picked_up.golden_sword: #5, 4(3%)
minecraft.mined.deepslate_tile_slab: #6, 264(6%)
minecraft.mined.oak_sapling: #6, 30(6%)
minecraft.dropped.dropper: #5, 7(7%)
minecraft.dropped.glowstone: #5, 32(6%)
minecraft.used.light_blue_wool: #5, 65(5%)
minecraft.mined.comparator: #6, 40(6%)
minecraft.dropped.gunpowder: #5, 198(2%)
minecraft.dropped.ice: #5, 23(5%)
minecraft.mined.smooth_quartz_slab: #5, 26(3%)
minecraft.dropped.lily_of_the_valley: #5, 1(8%)
minecraft.crafted.sugar: #5, 149(2%)
minecraft.mined.redstone_lamp: #6, 24(7%)
minecraft.picked_up.loom: #5, 5(3%)
minecraft.dropped.black_concrete: #5, 9(4%)
minecraft.used.powder_snow_bucket: #5, 26(3%)
minecraft.crafted.cartography_table: #5, 4(3%)
minecraft.picked_up.crimson_sign: #5, 1(6%)
minecraft.crafted.cooked_chicken: #5, 14(2%)
minecraft.picked_up.prismarine_bricks: #5, 132(1%)
minecraft.killed.phantom: #6, 57(6%)
minecraft.used.ice: #5, 343(2%)
minecraft.dropped.comparator: #5, 9(4%)
minecraft.dropped.white_stained_glass: #5, 6(2%)
minecraft.mined.melon: #5, 39(1%)
minecraft.dropped.redstone_lamp: #5, 1(4%)
minecraft.dropped.black_dye: #5, 6(3%)
minecraft.dropped.chest: #6, 26(5%)
minecraft.crafted.lime_wool: #5, 2(3%)
minecraft.custom.interact_with_loom: #6, 11(8%)
minecraft.mined.player_head: #6, 17(5%)
minecraft.picked_up.polished_deepslate: #6, 347(4%)
minecraft.custom.inspect_dropper: #7, 506(8%)
minecraft.mined.blue_wool: #5, 1(1%)
minecraft.picked_up.deepslate_tile_slab: #6, 266(4%)
minecraft.crafted.white_concrete_powder: #6, 6896(6%)
minecraft.dropped.leather_helmet: #6, 12(5%)
minecraft.dropped.pink_dye: #5, 1(0%)
minecraft.dropped.oak_door: #6, 2(14%)
minecraft.used.cooked_mutton: #6, 17(5%)
minecraft.picked_up.sugar: #6, 47(7%)
minecraft.dropped.redstone_block: #6, 32(7%)
minecraft.used.sugar_cane: #6, 368(3%)
minecraft.dropped.pumpkin_seeds: #6, 135(5%)
minecraft.picked_up.oak_fence: #7, 241(7%)
minecraft.used.pumpkin: #7, 205(8%)
minecraft.used.stone_pressure_plate: #6, 28(4%)
minecraft.used.carrot: #7, 1498(6%)
minecraft.mined.emerald_ore: #6, 19(4%)
minecraft.picked_up.stone_shovel: #6, 2(7%)
minecraft.used.cake: #6, 4(6%)
minecraft.crafted.clock: #6, 42(6%)
minecraft.used.repeater: #7, 494(7%)
minecraft.picked_up.oak_fence_gate: #6, 14(4%)
minecraft.used.observer: #7, 412(6%)
