stat, rank, value, (percentage) 
minecraft.mined.spruce_trapdoor: #14, 45(1%)
minecraft.crafted.cooked_porkchop: #14, 9(1%)
minecraft.crafted.oak_fence: #14, 54(1%)
minecraft.mined.dark_oak_fence_gate: #14, 2(2%)
minecraft.used.diamond_boots: #14, 1(2%)
minecraft.crafted.iron_door: #14, 6(1%)
minecraft.picked_up.azalea_leaves: #14, 413(1%)
minecraft.crafted.green_dye: #14, 61(1%)
minecraft.used.mossy_cobblestone: #14, 38(1%)
minecraft.picked_up.pumpkin_seeds: #14, 92(1%)
minecraft.picked_up.peony: #14, 9(1%)
minecraft.used.lapis_ore: #14, 5(1%)
minecraft.crafted.stone_slab: #14, 90(1%)
minecraft.picked_up.chicken: #14, 8(1%)
minecraft.picked_up.coarse_dirt: #14, 76(0%)
minecraft.crafted.dark_oak_boat: #14, 1(1%)
minecraft.crafted.polished_deepslate_stairs: #14, 10(1%)
minecraft.used.cyan_terracotta: #14, 184(1%)
minecraft.picked_up.rooted_dirt: #14, 16(0%)
minecraft.mined.spruce_leaves: #14, 407(0%)
minecraft.used.obsidian: #14, 134(0%)
minecraft.mined.rooted_dirt: #14, 12(0%)
minecraft.used.deepslate_brick_slab: #14, 26(0%)
minecraft.dropped.glass: #14, 24(0%)
minecraft.dropped.cooked_porkchop: #14, 1(0%)
minecraft.picked_up.deepslate_brick_wall: #14, 1(0%)
minecraft.dropped.crimson_roots: #14, 1(0%)
minecraft.mined.glass_pane: #14, 1(0%)
minecraft.mined.deepslate_tile_wall: #14, 1(0%)
minecraft.mined.beetroots: #14, 1(0%)
minecraft.mined.quartz_block: #14, 1(0%)
minecraft.picked_up.honeycomb: #14, 6(0%)
minecraft.picked_up.dirt: #15, 12913(2%)
minecraft.crafted.diamond_helmet: #15, 2(3%)
minecraft.picked_up.oak_sapling: #15, 423(2%)
minecraft.dropped.wooden_pickaxe: #15, 1(4%)
minecraft.picked_up.spruce_planks: #15, 327(2%)
minecraft.crafted.oak_slab: #15, 252(2%)
minecraft.mined.piston_head: #15, 2(3%)
minecraft.used.spruce_slab: #15, 338(2%)
minecraft.picked_up.polished_deepslate: #15, 139(2%)
minecraft.mined.spruce_fence: #15, 43(2%)
minecraft.picked_up.shield: #15, 3(2%)
minecraft.used.rose_bush: #15, 3(2%)
minecraft.dropped.dandelion: #15, 10(2%)
minecraft.used.iron_axe: #15, 699(1%)
minecraft.crafted.oak_sign: #15, 33(2%)
minecraft.picked_up.spruce_fence: #15, 57(1%)
minecraft.picked_up.spruce_door: #15, 6(2%)
minecraft.dropped.chainmail_boots: #15, 2(2%)
minecraft.picked_up.mutton: #15, 10(1%)
minecraft.killed.skeleton: #15, 327(1%)
minecraft.dropped.coal_ore: #15, 22(1%)
minecraft.used.gold_ore: #15, 29(1%)
minecraft.mined.warped_stem: #15, 91(1%)
minecraft.custom.horse_one_cm: #15, 1184072(1%)
minecraft.crafted.minecart: #15, 11(1%)
minecraft.picked_up.spruce_trapdoor: #15, 53(1%)
minecraft.used.pumpkin: #15, 24(1%)
minecraft.crafted.cyan_dye: #15, 54(1%)
minecraft.used.dark_oak_boat: #15, 3(1%)
minecraft.mined.flowering_azalea_leaves: #15, 149(1%)
minecraft.crafted.white_carpet: #15, 45(1%)
minecraft.used.dark_oak_planks: #15, 57(1%)
minecraft.used.deepslate_coal_ore: #15, 13(1%)
minecraft.killed.silverfish: #15, 3(1%)
minecraft.used.dark_oak_sapling: #15, 24(1%)
minecraft.used.apple: #15, 2(1%)
minecraft.used.coarse_dirt: #15, 153(0%)
minecraft.mined.stone_pressure_plate: #15, 1(1%)
minecraft.mined.cobblestone_slab: #15, 8(0%)
minecraft.mined.twisting_vines_plant: #15, 3(0%)
minecraft.mined.crimson_stem: #15, 14(0%)
minecraft.mined.deepslate_brick_slab: #15, 4(0%)
minecraft.used.azalea_leaves: #15, 43(0%)
minecraft.picked_up.deepslate_tile_wall: #15, 1(0%)
minecraft.used.jack_o_lantern: #15, 1(0%)
minecraft.used.quartz_block: #15, 1(0%)
minecraft.mined.rose_bush: #16, 5(3%)
minecraft.used.shears: #16, 2197(2%)
minecraft.crafted.iron_pickaxe: #16, 9(2%)
minecraft.crafted.spruce_slab: #16, 558(2%)
minecraft.crafted.cooked_beef: #16, 143(2%)
minecraft.crafted.spruce_door: #16, 9(2%)
minecraft.mined.oak_wall_sign: #16, 5(2%)
minecraft.picked_up.cobbled_deepslate: #16, 4742(1%)
minecraft.crafted.light_blue_dye: #16, 45(2%)
minecraft.broken.iron_axe: #16, 2(2%)
minecraft.crafted.red_dye: #16, 129(1%)
minecraft.picked_up.rose_bush: #16, 69(1%)
minecraft.crafted.piston: #16, 84(1%)
minecraft.crafted.powered_rail: #16, 90(1%)
minecraft.mined.birch_wall_sign: #16, 4(1%)
minecraft.picked_up.blast_furnace: #16, 2(1%)
minecraft.picked_up.copper_ore: #16, 98(1%)
minecraft.used.spruce_stairs: #16, 81(1%)
minecraft.used.spruce_fence: #16, 107(1%)
minecraft.crafted.spruce_stairs: #16, 80(1%)
minecraft.mined.spruce_planks: #16, 106(1%)
minecraft.mined.dark_oak_slab: #16, 12(1%)
minecraft.crafted.coarse_dirt: #16, 248(1%)
minecraft.dropped.minecart: #16, 1(1%)
minecraft.crafted.spruce_fence: #16, 81(1%)
minecraft.used.baked_potato: #16, 67(1%)
minecraft.picked_up.deepslate_iron_ore: #16, 19(1%)
minecraft.picked_up.warped_stem: #16, 86(1%)
minecraft.picked_up.yellow_bed: #16, 2(1%)
minecraft.picked_up.dark_oak_fence: #16, 10(1%)
minecraft.picked_up.oak_wood: #16, 12(1%)
minecraft.mined.bee_nest: #16, 1(1%)
minecraft.picked_up.stone_pressure_plate: #16, 2(1%)
minecraft.mined.dark_oak_leaves: #16, 82(0%)
minecraft.mined.dead_bush: #16, 18(0%)
minecraft.mined.dark_oak_fence: #16, 4(0%)
minecraft.mined.campfire: #16, 2(0%)
minecraft.picked_up.emerald: #16, 46(0%)
minecraft.picked_up.cooked_mutton: #16, 1(0%)
minecraft.used.polished_andesite: #16, 30(0%)
minecraft.crafted.birch_boat: #16, 1(0%)
minecraft.dropped.arrow: #16, 152(0%)
minecraft.picked_up.cobbled_deepslate_wall: #16, 2(0%)
minecraft.used.stone_pressure_plate: #16, 2(0%)
minecraft.mined.cobbled_deepslate_slab: #16, 2(0%)
minecraft.picked_up.gray_stained_glass: #16, 1(0%)
minecraft.mined.large_fern: #16, 1(0%)
